player_name,pfr_id,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position,position_group,def_pos_flag,off_pos_flag,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
a'shawn robinson,RobiAS00,320.0,75.0,34.5,,10.5,5.2,,1.78,,7.8,4.74,26.0,106.0,22.0,00-0032889,dt,dl,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
a.j. brown,BrowAJ00,226.0,73.0,32.875,78.0,9.75,4.49,,,,,,36.5,120.0,19.0,00-0035676,wr,wr,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
a.j. cann,CannA.00,320.0,75.0,32.625,,10.25,,,,,,,,,26.0,00-0032255,g,ol,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
a.j. derby,DerbA.00,240.0,77.0,30.5,,9.5,,,,,,,,,15.0,00-0031609,te,te,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
a.j. green,GreeA.00,207.0,76.0,34.375,,9.25,4.48,11.46,1.55,2.53,6.91,4.21,34.5,126.0,18.0,00-0027942,wr,wr,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a.j. jenkins,JenkA.00,200.0,72.0,32.75,,9.5,4.39,,,,6.73,4.12,38.0,124.0,12.0,00-0029654,wr,wr,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
a.j. mccarron,McCaA.00,220.0,75.0,31.5,,10.0,4.94,,1.75,,7.18,4.34,28.0,99.0,,00-0031288,qb,qb,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
a.j. terrell,TerrAJ00,200.0,73.0,31.25,,9.0,4.42,,,,,,34.5,129.0,15.0,00-0036285,cb,db,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
a.q. shipley,ShipA.20,307.0,73.0,,,,5.19,,,,,4.4,31.0,100.0,33.0,00-0026950,c,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
aj barner,BarnAJ00,251.0,78.0,33.375,81.875,9.0,,,,,,,,,,00-0039793,te,te,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
at perry,PerrAT00,205.0,77.0,33.25,,9.25,4.47,,1.59,,,,35.0,133.0,,00-0038612,wr,wr,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1
aaron banks,BankAa00,325.0,77.0,33.125,80.75,10.125,5.34,,1.91,3.0,7.73,4.92,31.0,100.0,24.0,00-0036551,g,ol,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
aaron brooks,BrooAa00,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
aaron burbridge,BurbAa00,208.0,73.0,31.625,,8.25,4.56,11.9,1.63,,7.22,4.31,30.5,115.0,20.0,00-0032441,wr,wr,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
aaron colvin,ColvAa00,191.0,72.0,31.0,,9.25,,,,,,,,,,00-0031259,cb,db,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
aaron dobson,DobsAa00,205.0,75.0,33.0,,9.0,4.37,,1.51,2.6,7.19,4.33,35.0,121.0,16.0,00-0030540,wr,wr,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
aaron gibson,GibsAa20,370.0,78.0,,,,5.35,,,,,4.54,24.0,111.0,31.0,00-0005927,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
aaron jones,JoneAa00,208.0,69.0,32.5,,9.5,4.56,11.53,,,6.82,4.2,37.5,127.0,16.0,00-0033293,rb,rb,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
aaron mellette,MellAa00,217.0,74.0,33.125,,9.625,4.54,,1.56,,7.11,4.41,33.5,123.0,9.0,00-0029896,wr,wr,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
aaron murray,MurrAa00,207.0,73.0,30.625,,9.125,,,,,,,,,,00-0031287,qb,qb,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
aaron robinson,RobiAa00,195.0,73.0,30.25,72.5,8.75,4.39,,1.58,2.46,6.9,4.31,37.0,123.0,15.0,00-0036899,cb,db,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
aaron rodgers,RodgAa00,223.0,74.0,,,9.375,4.71,,,,7.39,4.32,34.5,110.0,,00-0023459,qb,qb,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
aaron walker,WalkAa00,270.0,78.0,,,,4.72,,,,,4.3,33.5,115.0,24.0,00-0022060,te,te,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
ace sanders,SandAc00,178.0,67.0,29.5,,8.875,4.58,11.29,1.55,,6.81,4.37,32.0,117.0,7.0,00-0030550,wr,wr,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
adam bisnowaty,BisnAd00,310.0,77.0,33.875,,11.375,5.23,,,,8.02,4.94,29.5,96.0,23.0,00-0033965,ot,ol,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
adam gettis,GettAd00,315.0,75.0,33.125,,9.5,5.0,,,,7.99,4.65,31.0,112.0,,00-0029139,g,ol,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
adam jennings,JennAd00,180.0,69.0,,,,4.44,,,,,4.16,37.5,118.0,,00-0024398,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
adam koets,KoetAd20,300.0,77.0,,,,5.08,,,,,4.47,32.0,106.0,20.0,00-0025576,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
adam shaheen,ShahAd00,248.0,79.0,33.5,,9.625,4.79,12.38,,,7.09,4.38,32.5,121.0,24.0,00-0033896,te,te,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
adam snyder,SnydAd20,325.0,78.0,,,,5.34,,,,,4.86,28.5,93.0,21.0,00-0023529,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
adam terry,TerrAd20,335.0,80.0,,,,5.4,,,,,4.79,28.0,96.0,,00-0023499,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
adam trautman,TrauAd00,253.0,77.0,32.625,,9.5,4.8,,,,6.78,4.27,34.5,114.0,18.0,00-0036422,te,te,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
adolphus washington,WashAd00,295.0,76.0,34.5,,9.875,5.17,,1.79,,8.06,4.79,27.0,99.0,21.0,00-0033037,dt,dl,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
adonai mitchell,MitcAd00,205.0,74.0,32.375,77.625,9.0,4.34,,1.52,,,,39.5,136.0,,00-0039890,wr,wr,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
adoree' jackson,JackAd00,185.0,71.0,31.375,,9.25,4.42,,,,,,36.0,122.0,,00-0033878,cb,db,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1
